,date,funding_rate
399,2024-06-09,0.00030000000000000003
400,2024-06-10,0.00030000000000000003
401,2024-06-11,0.00030000000000000003
402,2024-06-12,0.00030000000000000003
403,2024-06-13,0.00030000000000000003
404,2024-06-14,0.00030000000000000003
405,2024-06-15,0.00030000000000000003
406,2024-06-16,0.00030000000000000003
407,2024-06-17,0.00030000000000000003
408,2024-06-18,0.00028236
409,2024-06-19,0.00017094
410,2024-06-20,0.00016766
411,2024-06-21,0.00020672000000000003
412,2024-06-22,0.00024146
413,2024-06-23,0.00016983
414,2024-06-24,0.00027022
415,2024-06-25,0.00021148
416,2024-06-26,0.00030000000000000003
417,2024-06-27,0.00030000000000000003
418,2024-06-28,0.00030000000000000003
419,2024-06-29,0.00030000000000000003
420,2024-06-30,0.00030000000000000003
421,2024-07-01,0.00030000000000000003
422,2024-07-02,0.00030000000000000003
423,2024-07-03,0.00030000000000000003
424,2024-07-04,0.00030000000000000003
425,2024-07-05,0.00021762000000000002
426,2024-07-06,0.00016491
427,2024-07-07,0.00028164
428,2024-07-08,0.00026126999999999997
429,2024-07-09,0.00020861000000000002
430,2024-07-10,0.0002471
431,2024-07-11,0.00030000000000000003
432,2024-07-12,0.00013441
433,2024-07-13,0.00025184000000000003
434,2024-07-14,0.00020789
435,2024-07-15,7.278e-05
436,2024-07-16,6.469e-05
437,2024-07-17,4.989999999999998e-06
438,2024-07-18,5.362e-05
439,2024-07-19,0.0001349
440,2024-07-20,4.890000000000002e-06
441,2024-07-21,-2.4730000000000002e-05
442,2024-07-22,0.00017858000000000001
443,2024-07-23,0.00013661
444,2024-07-24,0.00030000000000000003
445,2024-07-25,0.00030000000000000003
446,2024-07-26,0.0002334
447,2024-07-27,0.00023678
448,2024-07-28,0.00020161
449,2024-07-29,0.00023984
450,2024-07-30,0.00014649
451,2024-07-31,0.00014067
452,2024-08-01,0.00028208
453,2024-08-02,0.00030000000000000003
454,2024-08-03,0.00024035000000000001
455,2024-08-04,0.00025343
456,2024-08-05,0.00020396
457,2024-08-06,5.206e-05
458,2024-08-07,-4.3480000000000004e-05
459,2024-08-08,6.87e-05
460,2024-08-09,0.00012024
461,2024-08-10,-7.27e-05
462,2024-08-11,3.395e-05
463,2024-08-12,7.658e-05
464,2024-08-13,2.759e-05
465,2024-08-14,-7.989e-05
466,2024-08-15,-8.33e-05
467,2024-08-16,-0.00019178999999999998
468,2024-08-17,5.937e-05
469,2024-08-18,-5.059999999999996e-06
470,2024-08-19,-0.00012323
471,2024-08-20,1.1199999999999994e-06
472,2024-08-21,-6.951e-05
473,2024-08-22,-8.151999999999999e-05
474,2024-08-23,-5.2550000000000003e-05
475,2024-08-24,4.9e-05
476,2024-08-25,-3.229e-05
477,2024-08-26,9.676e-05
478,2024-08-27,0.00012299
479,2024-08-28,-3.227e-05
480,2024-08-29,-2.061e-05
481,2024-08-30,7.441e-05
482,2024-08-31,5.6290000000000005e-05
483,2024-09-01,2.9900000000000044e-06
484,2024-09-02,-3.501e-05
485,2024-09-03,0.00015966
486,2024-09-04,1.789e-05
487,2024-09-05,0.00013531
488,2024-09-06,3.7069999999999996e-05
489,2024-09-07,-0.00015427000000000003
490,2024-09-08,-7.499e-05
491,2024-09-09,-0.00018568
492,2024-09-10,-0.00010084
493,2024-09-11,-0.00016412000000000002
494,2024-09-12,-5.447e-05
495,2024-09-13,-3.381e-05
496,2024-09-14,-5.5140000000000004e-05
497,2024-09-15,-8.8e-07
498,2024-09-16,0.00012728000000000001
499,2024-09-17,0.00015767
500,2024-09-18,7.67e-05
501,2024-09-19,0.00010533000000000001
502,2024-09-20,0.00013105000000000001
503,2024-09-21,0.00022872000000000002
504,2024-09-22,0.00021076
505,2024-09-23,0.00013214
506,2024-09-24,5.037e-05
507,2024-09-25,3.7e-05
508,2024-09-26,0.00017895999999999998
509,2024-09-27,0.00018997
510,2024-09-28,0.00015169
511,2024-09-29,0.00011106
512,2024-09-30,0.00021016
513,2024-10-01,0.00030000000000000003
514,2024-10-02,0.00023232
515,2024-10-03,0.00013117
516,2024-10-04,9.459e-05
517,2024-10-05,3.53e-06
518,2024-10-06,8.04e-05
519,2024-10-07,5.798e-05
520,2024-10-08,0.00013516
521,2024-10-09,0.00023077
522,2024-10-10,0.00013622
523,2024-10-11,4.770000000000002e-06
524,2024-10-12,0.00010733
525,2024-10-13,6.269e-05
526,2024-10-14,0.00025429
527,2024-10-15,0.00030000000000000003
528,2024-10-16,0.00026825000000000004
529,2024-10-17,0.00030000000000000003
530,2024-10-18,0.00030000000000000003
531,2024-10-19,0.00030000000000000003
532,2024-10-20,0.00030000000000000003
533,2024-10-21,0.00030000000000000003
534,2024-10-22,0.00030000000000000003
535,2024-10-23,0.00030000000000000003
536,2024-10-24,0.00030000000000000003
537,2024-10-25,0.00030000000000000003
538,2024-10-26,0.00022323999999999998
539,2024-10-27,0.00029724
540,2024-10-28,0.00028371
541,2024-10-29,0.00030000000000000003
542,2024-10-30,0.00030000000000000003
543,2024-10-31,0.00030000000000000003
544,2024-11-01,0.00030000000000000003
545,2024-11-02,0.00030000000000000003
546,2024-11-03,0.00030000000000000003
547,2024-11-04,0.00030000000000000003
548,2024-11-05,0.00030000000000000003
549,2024-11-06,0.00030000000000000003
550,2024-11-07,0.00030000000000000003
551,2024-11-08,0.00030000000000000003
552,2024-11-09,0.00030000000000000003
553,2024-11-10,0.00049716
554,2024-11-11,0.00056878
555,2024-11-12,0.00131624
556,2024-11-13,0.00044957
557,2024-11-14,0.00030000000000000003
558,2024-11-15,0.00030977
559,2024-11-16,0.00033231000000000005
560,2024-11-17,0.00036342000000000004
561,2024-11-18,0.00067768
562,2024-11-19,0.00069781
563,2024-11-20,0.00030000000000000003
564,2024-11-21,0.00030000000000000003
565,2024-11-22,0.00030000000000000003
566,2024-11-23,0.00030000000000000003
567,2024-11-24,0.00049376
568,2024-11-25,0.00056268
569,2024-11-26,0.0006943699999999999
570,2024-11-27,0.00058
571,2024-11-28,0.00036185
572,2024-11-29,0.00054287
573,2024-11-30,0.00037972
574,2024-12-01,0.00045482000000000004
575,2024-12-02,0.00063669
576,2024-12-03,0.00049657
